,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
841,842,Binance Coin,BNB,2019-11-14 23:59:59,21.5126,20.974,21.2814,21.2647,237992230.5,3307441359.0
842,843,Binance Coin,BNB,2019-11-15 23:59:59,21.295,20.1779,21.2417,20.3162,225530774.7,3159918981.0
843,844,Binance Coin,BNB,2019-11-16 23:59:59,20.6341,20.0921,20.3174,20.2827,211016745.8,3154697160.0
844,845,Binance Coin,BNB,2019-11-17 23:59:59,20.6201,20.0305,20.2769,20.2608,224982344.1,3151297091.0
845,846,Binance Coin,BNB,2019-11-18 23:59:59,20.4322,18.9368,20.3436,19.3169,224380017.1,3004482390.0
846,847,Binance Coin,BNB,2019-11-19 23:59:59,19.6333,18.3752,19.3119,18.7033,206923366.0,2909049614.0
847,848,Binance Coin,BNB,2019-11-20 23:59:59,18.9271,17.8517,18.7073,18.1723,210091849.4,2826455734.0
848,849,Binance Coin,BNB,2019-11-21 23:59:59,18.1876,16.6204,18.1627,16.8402,228429805.9,2619271948.0
849,850,Binance Coin,BNB,2019-11-22 23:59:59,17.2702,14.6893,16.8409,15.5817,341456273.6,2423526845.0
850,851,Binance Coin,BNB,2019-11-23 23:59:59,16.4662,15.1515,15.5812,16.4195,255961051.7,2553835169.0
851,852,Binance Coin,BNB,2019-11-24 23:59:59,16.4913,15.2788,16.3987,15.2788,232363837.1,2376408889.0
852,853,Binance Coin,BNB,2019-11-25 23:59:59,15.7353,14.1954,15.2855,15.2674,242510343.4,2374635550.0
853,854,Binance Coin,BNB,2019-11-26 23:59:59,15.8612,15.2252,15.2725,15.5273,205893350.6,2415058208.0
854,855,Binance Coin,BNB,2019-11-27 23:59:59,16.1952,14.9432,15.4913,16.0983,255021617.8,2503874750.0
855,856,Binance Coin,BNB,2019-11-28 23:59:59,16.2286,15.6487,16.096,15.6832,194516396.4,2439314462.0
856,857,Binance Coin,BNB,2019-11-29 23:59:59,16.3407,15.646,15.6781,16.2733,250074234.7,2531096195.0
857,858,Binance Coin,BNB,2019-11-30 23:59:59,16.3707,15.5391,16.2635,15.716,213428130.9,2444407390.0
858,859,Binance Coin,BNB,2019-12-01 23:59:59,15.7432,15.0542,15.7432,15.4963,203268416.7,2410249227.0
859,860,Binance Coin,BNB,2019-12-02 23:59:59,15.7072,15.1525,15.5094,15.1919,200809248.9,2362891697.0
860,861,Binance Coin,BNB,2019-12-03 23:59:59,15.5532,15.0487,15.1919,15.3096,219927265.6,2381198047.0
861,862,Binance Coin,BNB,2019-12-04 23:59:59,15.6906,15.0097,15.3484,15.28,237605471.0,2376597490.0
862,863,Binance Coin,BNB,2019-12-05 23:59:59,16.0778,14.9494,15.2602,15.7628,255410907.6,2451700222.0
863,864,Binance Coin,BNB,2019-12-06 23:59:59,15.8569,15.4546,15.7672,15.7113,236694081.5,2443683754.0
