,SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1843,1844,Ethereum,ETH,2020-08-24 23:59:59,409.3886,389.3146,391.679,408.1442,10328860398.4294,45842265022.6177
1844,1845,Ethereum,ETH,2020-08-25 23:59:59,408.5279,374.3554,408.0717,384.001,12428442042.1937,43135697974.0757
1845,1846,Ethereum,ETH,2020-08-26 23:59:59,391.8733,378.7059,383.9774,386.4661,9967343483.0774,43417926668.4177
1846,1847,Ethereum,ETH,2020-08-27 23:59:59,395.3492,374.8665,386.6099,382.6326,10457777651.6621,42992439543.4564
1847,1848,Ethereum,ETH,2020-08-28 23:59:59,397.7576,381.2738,382.6296,395.8747,9120674421.4091,44485705031.5215
1848,1849,Ethereum,ETH,2020-08-29 23:59:59,405.6164,393.0374,395.6876,399.9215,8777703480.5025,44945899479.8523
1849,1850,Ethereum,ETH,2020-08-30 23:59:59,428.664,399.6084,399.6167,428.3957,11211948040.289,48151884394.293
1850,1851,Ethereum,ETH,2020-08-31 23:59:59,438.5603,419.7702,428.509,435.0797,12774741797.1348,48909170051.9544
1851,1852,Ethereum,ETH,2020-09-01 23:59:59,487.2119,432.0792,434.8744,477.0519,18862763755.9624,53633933560.1349
1852,1853,Ethereum,ETH,2020-09-02 23:59:59,480.331,424.46,477.0079,440.0405,19691854013.5079,49478789434.873
1853,1854,Ethereum,ETH,2020-09-03 23:59:59,449.5325,381.1297,440.24,385.6719,19622845896.3384,43370721325.6821
1854,1855,Ethereum,ETH,2020-09-04 23:59:59,402.4118,371.6367,384.6716,388.2411,16747106257.3669,43665020996.3354
1855,1856,Ethereum,ETH,2020-09-05 23:59:59,394.1723,316.7743,388.0384,335.2601,29880047640.4876,37710860057.8221
1856,1857,Ethereum,ETH,2020-09-06 23:59:59,359.764,319.0419,335.3346,353.3623,27643678916.8941,39751917522.7842
1857,1858,Ethereum,ETH,2020-09-07 23:59:59,358.2119,326.2544,353.4502,352.6735,21763614731.5767,39679199319.9028
1858,1859,Ethereum,ETH,2020-09-08 23:59:59,355.5629,328.8168,353.2023,337.6021,17991403431.6075,37988119626.6691
1859,1860,Ethereum,ETH,2020-09-09 23:59:59,359.1645,332.165,337.8249,351.11,14547933520.4245,39512826169.5128
1860,1861,Ethereum,ETH,2020-09-10 23:59:59,377.3936,351.1117,351.4293,368.1019,31421134556.3382,41430053162.3925
1861,1862,Ethereum,ETH,2020-09-11 23:59:59,376.6304,355.5826,368.1185,374.6956,27296269328.6057,42177302259.4925
1862,1863,Ethereum,ETH,2020-09-12 23:59:59,387.5384,367.8422,374.5954,387.1831,13295405814.3959,43588199421.8177
1863,1864,Ethereum,ETH,2020-09-13 23:59:59,388.9598,354.3402,387.5193,365.57,15005899191.1031,41160025962.3255
1864,1865,Ethereum,ETH,2020-09-14 23:59:59,384.4852,357.5698,365.6996,377.2689,17536695360.6158,42482307939.3069
1865,1866,Ethereum,ETH,2020-09-15 23:59:59,381.5083,363.6068,377.154,364.8392,16140584321.1878,41087642852.7861
1866,1867,Ethereum,ETH,2020-09-16 23:59:59,372.7674,356.6827,364.744,365.8123,16107612177.0569,41202147932.0841
1867,1868,Ethereum,ETH,2020-09-17 23:59:59,393.9016,364.7951,365.8658,389.0192,19899531080.4999,43821351213.4089
1868,1869,Ethereum,ETH,2020-09-18 23:59:59,391.9041,376.965,389.3375,384.3645,14108357740.4861,43302193327.1808
1869,1870,Ethereum,ETH,2020-09-19 23:59:59,387.0763,378.7241,384.0417,385.5444,11049507683.5861,43440360814.8873
1870,1871,Ethereum,ETH,2020-09-20 23:59:59,385.598,367.0944,385.598,371.0528,12292195784.1144,41812641074.3416
1871,1872,Ethereum,ETH,2020-09-21 23:59:59,375.737,336.069,371.4002,341.7861,17398267133.3014,38519366614.9833
1872,1873,Ethereum,ETH,2020-09-22 23:59:59,346.6008,336.855,341.7238,344.5032,12732578043.008,38830213877.7743
1873,1874,Ethereum,ETH,2020-09-23 23:59:59,344.6714,318.9692,344.5899,321.1163,12899346599.4348,36196531454.2713
1874,1875,Ethereum,ETH,2020-09-24 23:59:59,351.4615,318.5451,320.985,349.3556,15714304469.5515,39384347821.5164
1875,1876,Ethereum,ETH,2020-09-25 23:59:59,357.7727,339.0159,349.4114,352.1832,14381086966.4026,39707914545.5839
1876,1877,Ethereum,ETH,2020-09-26 23:59:59,355.8548,348.1071,352.3509,355.4881,13049148578.6333,40085290850.3168
1877,1878,Ethereum,ETH,2020-09-27 23:59:59,361.9844,349.8341,354.9599,357.4385,13598126926.2174,40309981003.8054
1878,1879,Ethereum,ETH,2020-09-28 23:59:59,366.4322,354.5476,357.9259,355.1594,14258455166.1703,40057637361.2811
